model,split,accuracy,precision,recall,f1,roc_auc,train_sec
Logistic Regression,60/40,0.9828,0.9904,0.975,0.9826,0.9968,0.059
Logistic Regression,70/30,0.9828,0.9906,0.9748,0.9826,0.997,0.032
Logistic Regression,80/20,0.9838,0.9896,0.9778,0.9837,0.9971,0.037
Logistic Regression,10-fold CV,0.9836,0.99,0.9772,0.9835,0.9971,2.018
Random Forest,60/40,0.9994,1.0,0.9988,0.9994,1.0,0.74
Random Forest,70/30,0.9994,1.0,0.9987,0.9994,1.0,0.83
Random Forest,80/20,0.9999,1.0,0.9997,0.9999,1.0,0.945
Random Forest,10-fold CV,0.9998,1.0,0.9996,0.9998,1.0,10.921
XGBoost,60/40,0.9989,0.9999,0.9979,0.9989,0.9999,0.24
XGBoost,70/30,0.9992,1.0,0.9983,0.9992,1.0,0.255
XGBoost,80/20,0.9999,1.0,0.9997,0.9999,1.0,0.272
XGBoost,10-fold CV,0.9997,0.9998,0.9996,0.9997,1.0,1.265
LightGBM,60/40,0.999,0.9997,0.9983,0.999,1.0,0.64
LightGBM,70/30,0.9994,0.9996,0.9993,0.9994,1.0,0.642
LightGBM,80/20,0.9999,1.0,0.9997,0.9999,1.0,0.667
LightGBM,10-fold CV,0.9998,0.9999,0.9997,0.9998,1.0,5.248
