sigma,scope,accuracy,f1_weighted,acc_drop
0.0,global,0.9614684495872322,0.9615800741646099,0.0
0.05,global,0.5825683108500359,0.5655120488546336,37.89
0.1,global,0.5180604343163011,0.5106160542397977,44.341
0.25,global,0.43899991144434275,0.43676416248881234,52.247
0.5,global,0.38045478249746634,0.3787388582199918,58.101
1.0,global,0.2950871289271974,0.2938685035100103,66.638
2.0,global,0.18747232635711544,0.18579647911678235,77.4
0.0,targeted_top10_shap,0.9614684495872322,0.9615800741646099,0.0
0.05,targeted_top10_shap,0.6034084088516299,0.5869868140571924,35.806
0.1,targeted_top10_shap,0.5638535486219756,0.5512429289751258,39.761
0.25,targeted_top10_shap,0.4982633251665338,0.4948131362755142,46.321
0.5,targeted_top10_shap,0.4417844948883707,0.44221122309230365,51.968
1.0,targeted_top10_shap,0.3549507532150623,0.3549958951089597,60.652
2.0,targeted_top10_shap,0.24481703417264417,0.2336029073963633,71.665
